primaryTitle,startYear,genres,averageRating,numVotes
Rumba Royale,2025,Drama,10.0,5
The Spark,2022,Drama,10.0,6
Hot Tea,2024,Drama,10.0,6
Una Noche Con La Muerte,2025,Thriller,10.0,6
Egri Erbstein: One Step Ahead of The Game,2026,Documentary,10.0,15
Mapaglaro,1986,Drama,10.0,9
The Lost Spirits,2009,Documentary,10.0,12
Sparrow Street,2023,"Horror,Thriller",10.0,11
Behind the Blades: The Making of Dylan's New Nightmare,2025,Documentary,10.0,11
Those Left Behind,2025,Drama,10.0,6
The Best of Aliens Uncovered: Part 2,2025,Sci-Fi,10.0,8
Sir Eta Kono Kotha,2024,\N,10.0,6
Espectro,2008,Mystery,10.0,8
"My High School Girlfriend, Your Wife",2026,Comedy,10.0,6
Resilience & Sacrifice,2025,Documentary,10.0,7
In First Movements,2025,Documentary,10.0,6
Road to the North,2026,Documentary,10.0,5
Skywatch,2026,Adventure,10.0,6
Visions of California,2017,Documentary,10.0,6
Seji,2020,Sci-Fi,10.0,7
A Man with a Bag,2023,Drama,10.0,6
Let Me Talk My Ish: ENess,2025,Documentary,10.0,8
FDA: Fresh Empire Campaign,2016,Reality-TV,10.0,19
Aliens Are Coming!! On Monday!!!,2026,Comedy,10.0,7
Armon,2023,Documentary,10.0,6
Ami Soumitra,2022,Documentary,10.0,7
A Night of Artistic Renewal: Representation Equals Power,2024,History,10.0,6
Samadhi Part 4 - Sadhana,2025,Documentary,10.0,10
The Concentratin' Kid,1930,"Drama,Western",10.0,16
Frames,2025,Thriller,10.0,6
Virginity Deal,2022,Drama,10.0,7
JFK:Berlin,2018,Documentary,10.0,11
In search of treasures 2,2025,Documentary,10.0,8
Chasing Glamour,2023,Drama,10.0,8
Breathe Freedom: the John McNeil story,2026,Documentary,10.0,7
Documentar: Un pic mai mult si un pic diferit,2025,Documentary,10.0,6
In search of treasures,2025,Documentary,10.0,8
The Measure of A Man,2026,Drama,10.0,7
Annie Johnson's Unfinished Business,2022,Drama,10.0,6
My boyfriends daddy is my man,2022,Adult,10.0,6
Corriedale: The Omnibus Edition,2026,Drama,10.0,8
Widow of the Revolution: The Anna Larina Story,2000,Documentary,10.0,28
Victoria's Secret: Show at the Fashion Café,1998,Music,10.0,19
LISA: Live at Coachella,2025,Music,10.0,5
Love the Skin You're In,2025,Drama,10.0,6
Under Reflex,2024,Drama,10.0,5
Díptico Mário Peixoto,2023,Drama,10.0,7
The Community Service Club,2025,Comedy,10.0,8
The Night Sale,2025,Drama,9.9,9
Dawn Dusk,2024,Documentary,9.9,13
Amal,2011,Drama,9.9,25
Der Wettkampf meines Lebens - Die Geschichte von Axel Mitbauer,2025,Documentary,9.9,16
Maratha Kranti,2023,Drama,9.9,12
Siranoosh: an Armenian journey,2025,Documentary,9.9,10
Bayakegalu Berooridaga,2026,Drama,9.9,15
Blood Roses,2026,"Action,Crime,Thriller",9.9,1015
Wandering Bonbon,2022,Romance,9.9,12
Vakra Prem,2022,Drama,9.9,11
Disremember,2025,"Mystery,Thriller",9.9,14
Ending is the Beginning: The Mitch Lucker Memorial Show,2014,Music,9.9,11
Valavaara,2025,Drama,9.9,540
Smile... The Worst is Yet to Come,2026,"Comedy,Drama",9.9,14
Chhatrapati Sambhaji,1924,"Biography,History",9.9,18
Live in Relation,2022,Drama,9.9,84
Dan and Phil: Terrible Influence,2025,Comedy,9.9,9
Maelstrom,2019,Documentary,9.9,24
Slavko Kopac: Barbarska profinjenost,2025,Documentary,9.9,15
Bebe Main Badmash Banuga,2026,Drama,9.9,538
Roots of the Saxons,2025,"Documentary,History",9.9,16
Yogi Da,2026,Action,9.9,416
Madham,2026,Drama,9.9,1510
Rabb Di Awaaz,2023,"Comedy,Drama",9.9,21
Days of Géants 3: Dani Divova 3,2024,Documentary,9.9,66
Committed to the Craft,2022,Documentary,9.9,16
Prince Oak Oakleyski Andronovo,2022,"Drama,Family",9.9,59
The Choice of Staying,2020,Documentary,9.8,60
hitched,2017,\N,9.8,10
Chaos Dragon and the Light,2023,Documentary,9.8,15
Jacket Thieves,2024,Drama,9.8,9
The Dirty Gerund Poetry Show,2024,Documentary,9.8,13
Pop,2025,"Adventure,Comedy,Music",9.8,7
Journeyman,2025,Sport,9.8,14
Bursa senfonisi,1934,\N,9.8,7
Sick-Amour: A Love Story,2024,Documentary,9.8,6
The Son,2021,Documentary,9.8,46
L'ultimo sparviero,2016,History,9.8,9
The Order of Things,2022,Documentary,9.8,9
Squirting MILFs,2022,Adult,9.8,7
Endless Light,2022,Documentary,9.8,19
Looking For A Heart Of Gold,2022,Drama,9.8,7
Buried in Tucson,2007,"Adventure,Drama",9.8,19
Paisawala,2025,Thriller,9.8,1047
A Place to Call His Own,2013,Documentary,9.8,15
Ik Tere Kar K,2025,Drama,9.8,5
Narasinha Avtar,1919,\N,9.8,13
Gumti,2024,Drama,9.8,112
A Quiet Love,2025,Documentary,9.8,5
Babymetal: Legend - Metal Galaxy,2020,Music,9.8,12
Em Queda-Livre,2024,Comedy,9.8,41
Almost an Island,2021,Documentary,9.8,10
